emoji_code,Occurrences,Negative,Positive,positive_pc,negative_pc,sentimentScore
U+1f602,14622,3614,6845,0.468,0.247,0.221
U+2764,8050,355,6361,0.79,0.044,0.746
U+2665,7144,252,4950,0.693,0.035,0.658
U+1f60d,6359,329,4640,0.73,0.052,0.678
U+1f62d,5526,2412,1896,0.343,0.436,-0.093
U+1f618,3648,193,2753,0.755,0.053,0.702
U+1f60a,3186,189,2243,0.704,0.059,0.645
U+1f44c,2925,274,1923,0.657,0.094,0.564
U+1f495,2400,99,1618,0.674,0.041,0.633
U+1f44f,2336,243,1459,0.625,0.104,0.521
U+1f601,2189,278,1263,0.577,0.127,0.45
U+263a,2062,128,1485,0.72,0.062,0.658
U+2661,1975,102,1425,0.722,0.052,0.67
U+1f44d,1854,213,1181,0.637,0.115,0.522
U+1f629,1808,1069,403,0.223,0.591,-0.368
U+1f64f,1539,124,767,0.498,0.081,0.418
U+270c,1534,173,885,0.577,0.113,0.464
U+1f60f,1522,170,676,0.444,0.112,0.332
U+1f609,1521,151,857,0.563,0.099,0.464
U+1f64c,1506,152,996,0.661,0.101,0.56
U+1f648,1456,238,868,0.596,0.163,0.433
U+1f4aa,1409,101,884,0.627,0.072,0.556
U+1f604,1398,191,781,0.559,0.137,0.422
U+1f612,1385,819,300,0.217,0.591,-0.375
U+1f483,1344,59,1048,0.78,0.044,0.736
U+1f496,1263,54,955,0.756,0.043,0.713
U+1f603,1206,86,759,0.629,0.071,0.558
U+1f614,1205,559,383,0.318,0.464,-0.146
U+1f631,1130,298,513,0.454,0.264,0.19
U+1f389,1125,43,875,0.778,0.038,0.74
U+1f61c,1035,115,587,0.567,0.111,0.456
U+262f,992,5,6,0.006,0.005,0.001
U+1f338,946,37,654,0.691,0.039,0.652
U+1f49c,939,41,657,0.7,0.044,0.656
U+1f499,912,29,697,0.764,0.032,0.732
U+2728,848,43,342,0.403,0.051,0.353
U+1f633,846,277,292,0.345,0.327,0.018
U+1f497,836,42,593,0.709,0.05,0.659
U+2605,828,25,260,0.314,0.03,0.284
U+2588,798,71,45,0.056,0.089,-0.033
U+2600,786,21,388,0.494,0.027,0.467
U+1f621,756,403,272,0.36,0.533,-0.173
U+1f60e,754,79,451,0.598,0.105,0.493
U+1f622,749,288,293,0.391,0.385,0.007
U+1f48b,734,28,537,0.732,0.038,0.693
U+1f60b,734,33,498,0.678,0.045,0.634
U+1f64a,725,97,431,0.594,0.134,0.461
U+1f634,718,303,245,0.341,0.422,-0.081
U+1f3b6,701,67,445,0.635,0.096,0.539
U+1f49e,687,27,537,0.782,0.039,0.742
U+1f60c,665,93,415,0.624,0.14,0.484
U+1f525,651,80,171,0.263,0.123,0.14
U+1f4af,637,179,256,0.402,0.281,0.121
U+1f52b,604,298,180,0.298,0.493,-0.195
U+1f49b,602,25,454,0.754,0.042,0.713
U+1f481,549,105,285,0.519,0.191,0.328
U+1f49a,537,41,395,0.736,0.076,0.659
U+266b,533,33,187,0.351,0.062,0.289
U+1f61e,532,255,192,0.361,0.479,-0.118
U+1f606,527,81,298,0.565,0.154,0.412
U+1f61d,496,65,276,0.556,0.131,0.425
U+1f62a,482,208,169,0.351,0.432,-0.081
U+fffd,472,78,119,0.252,0.165,0.087
U+1f62b,467,227,159,0.34,0.486,-0.146
U+1f605,462,135,218,0.472,0.292,0.18
U+1f44a,458,121,226,0.493,0.264,0.229
U+1f480,456,214,119,0.261,0.469,-0.208
U+1f600,439,37,288,0.656,0.084,0.572
U+1f61a,424,20,323,0.762,0.047,0.715
U+1f63b,417,28,288,0.691,0.067,0.624
U+a9,416,54,103,0.248,0.13,0.118
U+1f440,410,93,119,0.29,0.227,0.063
U+1f498,395,18,290,0.734,0.046,0.689
U+1f413,384,41,52,0.135,0.107,0.029
U+2615,382,53,147,0.385,0.139,0.246
U+1f44b,382,60,219,0.573,0.157,0.416
U+270b,378,124,172,0.455,0.328,0.127
U+1f38a,363,20,284,0.782,0.055,0.727
U+1f355,352,19,167,0.474,0.054,0.42
U+2744,349,34,212,0.607,0.097,0.51
U+1f625,341,108,150,0.44,0.317,0.123
U+1f615,340,205,69,0.203,0.603,-0.4
U+1f4a5,329,23,72,0.219,0.07,0.149
U+1f494,328,136,96,0.293,0.415,-0.122
U+1f624,327,157,88,0.269,0.48,-0.211
U+1f608,325,66,153,0.471,0.203,0.268
U+25ba,325,40,93,0.286,0.123,0.163
U+2708,322,13,148,0.46,0.04,0.419
U+1f51d,303,26,171,0.564,0.086,0.479
U+1f630,302,132,126,0.417,0.437,-0.02
U+26bd,299,15,201,0.672,0.05,0.622
U+1f611,299,154,60,0.201,0.515,-0.314
U+1f451,298,12,221,0.742,0.04,0.701
U+1f639,295,88,130,0.441,0.298,0.142
U+1f449,292,20,135,0.462,0.068,0.394
U+1f343,291,29,140,0.481,0.1,0.381
U+1f381,288,11,232,0.806,0.038,0.767
U+1f620,288,163,76,0.264,0.566,-0.302
U+1f427,284,11,142,0.5,0.039,0.461
U+2606,282,8,130,0.461,0.028,0.433
U+1f340,278,6,86,0.309,0.022,0.288
U+1f388,277,4,205,0.74,0.014,0.726
U+1f385,274,7,95,0.347,0.026,0.321
U+1f613,273,118,96,0.352,0.432,-0.081
U+1f623,271,147,89,0.328,0.542,-0.214
U+1f610,270,150,44,0.163,0.556,-0.393
U+270a,270,37,154,0.57,0.137,0.433
U+1f628,269,117,79,0.294,0.435,-0.141
U+1f616,268,130,88,0.328,0.485,-0.157
U+1f4a4,267,38,138,0.517,0.142,0.375
U+1f493,259,15,189,0.73,0.058,0.672
U+1f44e,258,128,79,0.306,0.496,-0.19
U+1f4a6,252,35,155,0.615,0.139,0.476
U+2714,249,31,99,0.398,0.124,0.273
U+1f637,246,117,75,0.305,0.476,-0.171
U+26a1,246,10,54,0.22,0.041,0.179
U+1f64b,236,30,146,0.619,0.127,0.492
U+1f384,236,15,142,0.602,0.064,0.538
U+1f4a9,229,94,67,0.293,0.41,-0.118
U+1f3b5,223,23,136,0.61,0.103,0.507
U+27a1,222,2,35,0.158,0.009,0.149
U+1f61b,220,18,152,0.691,0.082,0.609
U+1f62c,214,57,99,0.463,0.266,0.196
U+1f46f,211,24,118,0.559,0.114,0.445
U+1f48e,209,11,130,0.622,0.053,0.569
U+1f33f,208,1,82,0.394,0.005,0.389
U+1f382,201,16,141,0.701,0.08,0.622
U+1f31f,199,11,77,0.387,0.055,0.332
U+1f52e,199,6,60,0.302,0.03,0.271
U+2757,198,31,51,0.258,0.157,0.101
U+1f46b,197,43,94,0.477,0.218,0.259
U+1f3c6,194,6,149,0.768,0.031,0.737
U+2716,193,8,69,0.358,0.041,0.316
U+261d,191,27,87,0.455,0.141,0.314
U+1f619,191,3,154,0.806,0.016,0.791
U+26c4,191,14,115,0.602,0.073,0.529
U+1f445,190,23,112,0.589,0.121,0.468
U+266a,190,15,118,0.621,0.079,0.542
U+1f342,189,6,111,0.587,0.032,0.556
U+1f48f,185,33,106,0.573,0.178,0.395
U+1f52a,183,38,51,0.279,0.208,0.071
U+1f334,178,13,108,0.607,0.073,0.534
U+1f448,174,14,89,0.511,0.08,0.431
U+1f339,172,3,108,0.628,0.017,0.61
U+1f646,171,15,102,0.596,0.088,0.509
U+279c,170,8,36,0.212,0.047,0.165
U+1f47b,168,28,67,0.399,0.167,0.232
U+1f4b0,168,26,69,0.411,0.155,0.256
U+1f37b,165,17,103,0.624,0.103,0.521
U+1f645,165,76,42,0.255,0.461,-0.206
U+1f31e,162,3,95,0.586,0.019,0.568
U+1f341,161,5,84,0.522,0.031,0.491
U+2b50,159,5,99,0.623,0.031,0.591
U+25aa,159,15,47,0.296,0.094,0.201
U+1f380,156,6,106,0.679,0.038,0.641
U+2501,156,14,42,0.269,0.09,0.179
U+2637,154,2,12,0.078,0.013,0.065
U+1f437,152,11,68,0.447,0.072,0.375
U+1f649,150,26,77,0.513,0.173,0.34
U+1f33a,150,2,86,0.573,0.013,0.56
U+1f485,149,27,86,0.577,0.181,0.396
U+1f436,148,12,99,0.669,0.081,0.588
U+1f31a,148,23,93,0.628,0.155,0.473
U+1f47d,146,13,60,0.411,0.089,0.322
U+1f3a4,144,17,87,0.604,0.118,0.486
U+1f46d,144,20,88,0.611,0.139,0.472
U+1f3a7,142,18,78,0.549,0.127,0.423
U+1f446,138,16,62,0.449,0.116,0.333
U+1f378,138,12,88,0.638,0.087,0.551
U+1f377,137,7,62,0.453,0.051,0.401
U+ae,137,9,48,0.35,0.066,0.285
U+1f349,136,10,93,0.684,0.074,0.61
U+1f607,135,9,90,0.667,0.067,0.6
U+2611,135,2,16,0.119,0.015,0.104
U+1f3c3,135,12,68,0.504,0.089,0.415
U+1f63f,134,78,27,0.201,0.582,-0.381
U+2502,134,0,47,0.351,0.0,0.351
U+1f4a3,131,40,41,0.313,0.305,0.008
U+1f37a,131,8,74,0.565,0.061,0.504
U+25b6,131,7,35,0.267,0.053,0.214
